Date,Day,Whole,,AdultWhole,,ChildWhole,,RetailShopWhole,,RetailShopAdult,,RetailShopChild,
01/01/14,Wed,0,0,0,0,0,0,0,0,0,0,0,0
02/01/14,Thurs,1413,1413,1413,1413,0,0,1093,1093,945,945,148,148
03/01/14,Fri,1077,2490,1077,2490,0,0,872,1965,757,1702,115,263
04/01/14,Sat,1376,3866,1376,3866,0,0,965,2930,860,2562,105,368
05/01/14,Sun,1277,5143,1277,5143,0,0,961,3891,821,3383,140,508
06/01/14,Mon,418,5561,418,5561,0,0,329,4220,294,3677,35,543
07/01/14,Tues,473,6034,473,6034,0,0,337,4557,297,3974,40,583
08/01/14,Wed,636,6670,636,6670,0,0,439,4996,392,4366,47,630
09/01/14,Thurs,617,7287,617,7287,0,0,388,5384,347,4713,41,671
10/01/14,Fri,579,7866,579,7866,0,0,405,5789,368,5081,37,708
11/01/14,Sat,1529,9395,1529,9395,0,0,1083,6872,955,6036,128,836
12/01/14,Sun,1383,10778,1383,10778,0,0,1096,7968,960,6996,136,972
13/01/14,Mon,592,11370,592,11370,0,0,335,8303,305,7301,30,1002
14/01/14,Tues,503,11873,503,11873,0,0,368,8671,334,7635,34,1036
15/01/14,Wed,523,12396,523,12396,0,0,288,8959,248,7883,40,1076
16/01/14,Thurs,614,13010,614,13010,0,0,315,9274,282,8165,33,1109
17/01/14,Fri,1029,14039,1029,14039,0,0,565,9839,518,8683,47,1156
18/01/14,Sat,1934,15973,1934,15973,0,0,1325,11164,1162,9845,163,1319
19/01/14,Sun,1578,17551,1578,17551,0,0,1228,12392,1081,10926,147,1466
20/01/14,Mon,693,18244,693,18244,0,0,435,12827,388,11314,47,1513
21/01/14,Tues,787,19031,787,19031,0,0,489,13316,433,11747,56,1569
22/01/14,Wed,697,19728,697,19728,0,0,466,13782,433,12180,33,1602
23/01/14,Thurs,640,20368,640,20368,0,0,410,14192,348,12528,62,1664
24/01/14,Fri,1072,21440,1072,21440,0,0,591,14783,539,13067,52,1716
25/01/14,Sat,1822,23262,1822,23262,0,0,1237,16020,1069,14136,168,1884
26/01/14,Sun,1253,24515,1253,24515,0,0,1021,17041,886,15022,135,2019
27/01/14,Mon,638,25153,638,25153,0,0,451,17492,398,15420,53,2072
28/01/14,Tues,528,25681,528,25681,0,0,356,17848,314,15734,42,2114
29/01/14,Wed,545,26226,545,26226,0,0,316,18164,284,16018,32,2146
30/01/14,Thurs,1031,27257,1031,27257,0,0,507,18671,468,16486,39,2185
31/01/14,Fri,1003,28260,1003,28260,0,0,628,19299,539,17025,89,2274
01/02/14,Sat,1767,1767,1767,1767,0,0,1058,1058,947,947,111,111
02/02/14,Sun,2659,4426,2659,4426,0,0,1858,2916,1648,2595,210,321
03/02/14,Mon,647,5073,647,5073,0,0,342,3258,307,2902,35,356
04/02/14,Tues,1004,6077,1004,6077,0,0,405,3663,365,3267,40,396
05/02/14,Wed,819,6896,819,6896,0,0,411,4074,386,3653,25,421
06/02/14,Thurs,813,7709,813,7709,0,0,426,4500,386,4039,40,461
07/02/14,Fri,829,8538,829,8538,0,0,477,4977,428,4467,49,510
08/02/14,Sat,2172,10710,2172,10710,0,0,1308,6285,1144,5611,164,674
09/02/14,Sun,1977,12687,1977,12687,0,0,1330,7615,1155,6766,175,849
10/02/14,Mon,864,13551,864,13551,0,0,478,8093,427,7193,51,900
11/02/14,Tues,1024,14575,1024,14575,0,0,538,8631,473,7666,65,965
12/02/14,Wed,524,15099,524,15099,0,0,424,9055,382,8048,42,1007
13/02/14,Thurs,777,15876,777,15876,0,0,554,9609,506,8554,48,1055
14/02/14,Fri,785,16661,785,16661,0,0,504,10113,464,9018,40,1095
15/02/14,Sat,1645,18306,1645,18306,0,0,1225,11338,1088,10106,137,1232
16/02/14,Sun,3286,21592,3286,21592,0,0,2036,13374,1820,11926,216,1448
17/02/14,Mon,1614,23206,1614,23206,0,0,1125,14499,886,12812,239,1687
18/02/14,Tues,1822,25028,1822,25028,0,0,952,15451,772,13584,180,1867
19/02/14,Wed,1639,26667,1639,26667,0,0,1045,16496,822,14406,223,2090
20/02/14,Thurs,1796,28463,1796,28463,0,0,1024,17520,830,15236,194,2284
21/02/14,Fri,1882,30345,1882,30345,0,0,1261,18781,1025,16261,236,2520
22/02/14,Sat,2577,32922,2577,32922,0,0,1532,20313,1350,17611,182,2702
23/02/14,Sun,1942,34864,1942,34864,0,0,1365,21678,1175,18786,190,2892
24/02/14,Mon,825,35689,825,35689,0,0,533,22211,465,19251,68,2960
25/02/14,Tues,983,36672,983,36672,0,0,672,22883,582,19833,90,3050
26/02/14,Wed,835,37507,835,37507,0,0,470,23353,423,20256,47,3097
27/02/14,Thurs,1164,38671,1164,38671,0,0,564,23917,480,20736,84,3181
28/02/14,Fri,1154,39825,1154,39825,0,0,609,24526,544,21280,65,3246
01/03/14,Sat,2182,2182,2182,2182,0,0,1319,1319,1147,1147,172,172
02/03/14,Sun,2052,4234,2052,4234,0,0,1262,2581,1094,2241,168,340
03/03/14,Mon,831,5065,831,5065,0,0,481,3062,444,2685,37,377
04/03/14,Tues,851,5916,851,5916,0,0,421,3483,370,3055,51,428
05/03/14,Wed,778,6694,778,6694,0,0,441,3924,389,3444,52,480
06/03/14,Thurs,830,7524,830,7524,0,0,408,4332,373,3817,35,515
07/03/14,Fri,832,8356,832,8356,0,0,566,4898,518,4335,48,563
08/03/14,Sat,2088,10444,2088,10444,0,0,1221,6119,1087,5422,134,697
