month,year,Whole,,AdultWhole,,ChildWhole,,RetailShopWhole,,RetailShopAdult,,RetailShopChild,
,,,,,,,,,,,,,
April,2011,44882,,41099,,3783,,26504,,17075,,9429,
May,2011,45954,,41703,,4251,,24734,,18168,,6566,
June,2011,39523,,35630,,3893,,22400,,20156,,2244,
July,2011,55976,,39104,,16872,,30800,,25578,,5222,
Aug,2011,62204,,41208,,20996,,39212,,31037,,8175,
Sept,2011,47163,,33155,,14008,,26335,,22046,,4289,
Oct,2011,53414,,37868,,15546,,32486,,27052,,5434,
Nov,2011,58910,,40653,,18257,,43556,,38257,,5299,
Dec,2011,53462,,39190,,14272,,42364,,36311,,6053,
Jan,2012,37441,,28435,,9006,,25382,,21379,,4003,
Feb,2012,45807,,36091,,9716,,25426,,20869,,4557,
March,2012,53965,,43166,,10799,,25607,,21621,,3986,
April,2012,50666,,39080,,11586,,30089,,24217,,5872,
May,2012,53483,,43587,,9896,,22698,,19145,,3553,
June,2012,61466,,50891,,10575,,28598,,23644,,4954,
July,2012,71963,,60633,,11330,,34905,,28731,,6174,
Aug,2012,55206,,43760,,11446,,34907,,28282,,6625,
Sept,2012,39337,,19833,,19504,,27787,,23456,,4331,
Oct,2012,33618,,18493,,15125,,29862,,24256,,5606,
Nov,2012,39753,,39026,,727,,26391,,22331,,4060,
Dec,2012,42323,,42323,,0,,24226,,20527,,3699,
Jan,2013,29927,,29927,,0,,18942,,15796,,3146,
Feb,2013,43103,,43103,,0,,26316,,21872,,4444,
March,2013,43008,,43008,,0,,25512,,21953,,3559,
April,2013,46655,,46655,,0,,25810,,21775,,4035,
May,2013,46560,,46560,,0,,23484,,20064,,3420,
June,2013,50177,,50177,,0,,22392,,19469,,2923,
July,2013,45413,,45413,,0,,22978,,19702,,3276,
Aug,2013,57439,,57439,,0,,31377,,26225,,5152,
Sept,2013,47929,,47929,,0,,22958,,20161,,2797,
Oct,2013,45904,,45904,,0,,25972,,21924,,4048,
Nov,2013,38136,,38136,,0,,22265,,19783,,2482,
Dec,2013,32392,,32392,,0,,21346,,18762,,2584,
Jan,2014,28260,,28260,,0,,19299,,17025,,2274,
Feb,2014,39825,,39825,,0,,24526,,21280,,3246,
March,2014,41497,,41497,,0,,23375,,20529,,2846,
April,2014,42944,,42944,,0,,25041,,21513,,3528,
May,2014,50827,,50827,,0,,17484,,14942,,2542,
June,2014,40143,,40143,,0,,21408,,20137,,1271,
,,,,,,,,,,,,,
total,,1816655,0,1585067,0,231588,0,1044754,0,877050,0,167704,0
average,,46580.89744,#DIV/0!,40642.74359,#DIV/0!,5938.153846,#DIV/0!,26788.5641,#DIV/0!,22488.46154,#DIV/0!,4300.102564,#DIV/0!
